age,sex,province,health,n
15,Female,AB,Excellent,2
15,Female,AB,Very good,1
15,Female,BC,Excellent,2
15,Female,BC,Fair,2
15,Female,BC,Very good,2
15,Female,MB,Excellent,1
15,Female,MB,Fair,4
15,Female,MB,Very good,2
15,Female,NB,Excellent,1
15,Female,NL,Fair,1
15,Female,NL,Very good,3
15,Female,NS,Excellent,2
15,Female,NS,Fair,1
15,Female,NS,Very good,1
15,Female,ON,Excellent,9
15,Female,ON,Fair,3
15,Female,ON,Very good,9
15,Female,PE,Excellent,1
15,Female,QC,Excellent,1
15,Female,QC,Fair,4
15,Female,QC,Very good,4
15,Female,SK,Very good,2
15,Male,AB,Very good,1
15,Male,BC,Excellent,5
15,Male,BC,Fair,2
15,Male,BC,Very good,2
15,Male,MB,Excellent,2
15,Male,NB,Excellent,1
15,Male,NB,Fair,2
15,Male,NB,Very good,2
15,Male,NS,Excellent,3
15,Male,NS,Fair,2
15,Male,ON,Excellent,6
15,Male,ON,Fair,5
15,Male,ON,Very good,9
15,Male,PE,Fair,1
15,Male,PE,Very good,2
15,Male,QC,Excellent,4
15,Male,QC,Fair,2
15,Male,QC,Very good,6
15,Male,SK,Excellent,4
15,Male,SK,Fair,1
15,Male,SK,Very good,1
16,Female,AB,Excellent,3
16,Female,AB,Fair,1
16,Female,AB,Very good,3
16,Female,BC,Excellent,4
16,Female,BC,Fair,1
16,Female,BC,Very good,2
16,Female,MB,Excellent,1
16,Female,MB,Fair,3
16,Female,NB,Excellent,3
16,Female,NB,Fair,2
16,Female,NB,Very good,3
16,Female,NL,Excellent,1
16,Female,NL,Very good,2
16,Female,NS,Fair,2
16,Female,ON,Excellent,7
16,Female,ON,Fair,4
16,Female,ON,Very good,7
16,Female,PE,Fair,1
16,Female,PE,Very good,3
16,Female,QC,Excellent,7
16,Female,QC,Fair,2
16,Female,QC,Very good,10
16,Female,SK,Excellent,2
16,Female,SK,Fair,4
16,Male,AB,Excellent,4
16,Male,AB,Fair,1
16,Male,AB,Very good,3
16,Male,BC,Excellent,2
16,Male,BC,Fair,2
16,Male,BC,Very good,6
16,Male,MB,Excellent,1
16,Male,NB,Fair,1
16,Male,NB,Very good,3
16,Male,NL,Excellent,2
16,Male,NL,Very good,4
16,Male,NS,Excellent,1
16,Male,NS,Fair,2
16,Male,ON,Excellent,8
16,Male,ON,Fair,5
16,Male,ON,Very good,8
16,Male,PE,Fair,2
16,Male,PE,Very good,2
16,Male,QC,Excellent,3
16,Male,QC,Fair,3
16,Male,QC,Very good,10
16,Male,SK,Fair,2
16,Male,SK,Very good,3
17,Female,AB,Excellent,2
17,Female,AB,Very good,4
17,Female,BC,Excellent,3
17,Female,BC,Fair,3
17,Female,BC,Very good,1
17,Female,MB,Excellent,3
17,Female,MB,Fair,1
17,Female,MB,Very good,2
17,Female,NB,Fair,1
17,Female,NB,Very good,3
17,Female,NL,Fair,2
17,Female,NL,Very good,1
17,Female,NS,Excellent,1
17,Female,NS,Very good,2
17,Female,ON,Excellent,10
17,Female,ON,Fair,6
17,Female,ON,Very good,14
17,Female,PE,Fair,2
17,Female,PE,Very good,1
17,Female,QC,Excellent,2
17,Female,QC,Fair,3
17,Female,QC,Very good,6
17,Female,SK,Excellent,1
17,Female,SK,Fair,2
17,Male,AB,Excellent,1
17,Male,AB,Fair,2
17,Male,AB,Very good,2
17,Male,BC,Excellent,1
17,Male,BC,Fair,3
17,Male,BC,Very good,4
17,Male,MB,Very good,1
17,Male,NB,Excellent,2
17,Male,NB,Fair,1
17,Male,NB,Very good,2
17,Male,NL,Excellent,4
17,Male,NL,Very good,2
17,Male,NS,Excellent,1
17,Male,ON,Excellent,10
17,Male,ON,Fair,6
17,Male,ON,Very good,12
17,Male,PE,Fair,1
17,Male,PE,Very good,1
17,Male,QC,Excellent,3
17,Male,QC,Fair,3
17,Male,QC,Very good,4
17,Male,SK,Excellent,2
17,Male,SK,Fair,2
17,Male,SK,Very good,4
18,Female,AB,Excellent,2
18,Female,AB,Fair,4
18,Female,AB,Very good,2
18,Female,BC,Excellent,4
18,Female,BC,Fair,4
18,Female,BC,Very good,3
18,Female,MB,Excellent,1
18,Female,MB,Fair,1
18,Female,MB,Very good,1
18,Female,NB,Excellent,1
18,Female,NB,Fair,2
18,Female,NL,Excellent,1
18,Female,NL,Very good,2
18,Female,NS,Fair,1
18,Female,ON,Excellent,4
18,Female,ON,Fair,4
18,Female,ON,Very good,9
18,Female,PE,Fair,1
18,Female,QC,Excellent,3
18,Female,QC,Fair,3
18,Female,QC,Very good,2
18,Female,SK,Excellent,1
18,Female,SK,Fair,2
18,Female,SK,Very good,2
18,Male,AB,Excellent,3
18,Male,AB,Fair,3
18,Male,AB,Very good,1
18,Male,BC,Excellent,2
18,Male,BC,Fair,5
18,Male,BC,Very good,6
18,Male,MB,Excellent,1
18,Male,MB,Very good,1
18,Male,NB,Excellent,1
18,Male,NB,Fair,3
18,Male,NL,Excellent,1
18,Male,NL,Fair,1
18,Male,NL,Poor,1
18,Male,NL,Very good,2
18,Male,NS,Excellent,1
18,Male,NS,Fair,2
18,Male,NS,Very good,2
18,Male,ON,Excellent,5
18,Male,ON,Fair,2
18,Male,ON,Very good,7
18,Male,PE,Excellent,2
18,Male,PE,Very good,1
18,Male,QC,Excellent,5
18,Male,QC,Fair,3
18,Male,QC,Very good,5
18,Male,SK,Excellent,1
18,Male,SK,Fair,1
18,Male,SK,Very good,1
19,Female,AB,Excellent,1
19,Female,AB,Fair,1
19,Female,AB,Very good,5
19,Female,BC,Fair,1
19,Female,BC,Very good,2
19,Female,MB,Excellent,4
19,Female,MB,Very good,2
19,Female,NB,Fair,1
19,Female,NB,Very good,4
19,Female,NL,Excellent,1
19,Female,NL,Fair,1
19,Female,NL,Very good,1
19,Female,NS,Excellent,1
19,Female,NS,Fair,1
19,Female,ON,Excellent,4
19,Female,ON,Fair,5
19,Female,ON,Poor,1
19,Female,ON,Very good,14
19,Female,PE,Excellent,1
19,Female,PE,Very good,1
19,Female,QC,Excellent,2
19,Female,QC,Fair,5
19,Female,QC,Very good,6
19,Female,SK,Fair,2
19,Female,SK,Very good,2
19,Male,AB,Excellent,2
19,Male,AB,Fair,4
19,Male,AB,Very good,2
19,Male,BC,Excellent,3
19,Male,BC,Fair,4
19,Male,BC,Very good,4
19,Male,MB,Excellent,1
19,Male,MB,Fair,3
19,Male,MB,Very good,2
19,Male,NB,Fair,1
19,Male,NB,Very good,1
19,Male,NL,Fair,1
19,Male,NL,Very good,1
19,Male,NS,Excellent,1
19,Male,NS,Fair,2
19,Male,NS,Very good,1
19,Male,ON,Excellent,8
19,Male,ON,Fair,5
19,Male,ON,Very good,6
19,Male,ON,NA,1
19,Male,PE,Excellent,2
19,Male,PE,Fair,1
19,Male,PE,Very good,2
19,Male,QC,Excellent,6
19,Male,QC,Fair,4
19,Male,QC,Very good,2
19,Male,SK,Excellent,2
19,Male,SK,Fair,1
19,Male,SK,Very good,2
20,Female,AB,Excellent,2
20,Female,AB,Fair,1
20,Female,AB,Very good,1
20,Female,BC,Excellent,2
20,Female,BC,Fair,4
20,Female,BC,Very good,2
20,Female,MB,Fair,1
20,Female,NL,Excellent,1
20,Female,NL,Fair,3
20,Female,NL,Very good,3
20,Female,NS,Excellent,2
20,Female,NS,Fair,2
20,Female,NS,Very good,2
20,Female,ON,Excellent,2
20,Female,ON,Fair,5
20,Female,ON,Very good,10
20,Female,QC,Excellent,5
20,Female,QC,Fair,2
20,Female,QC,Very good,7
20,Female,SK,Excellent,1
20,Female,SK,Fair,1
20,Male,AB,Fair,3
20,Male,AB,Very good,4
20,Male,BC,Fair,2
20,Male,BC,Very good,5
20,Male,MB,Fair,1
20,Male,MB,Very good,2
20,Male,NB,Very good,2
20,Male,NL,Excellent,1
20,Male,NL,Very good,1
20,Male,NS,Fair,4
20,Male,NS,Very good,3
20,Male,ON,Excellent,6
20,Male,ON,Fair,5
20,Male,ON,Poor,1
20,Male,ON,Very good,13
20,Male,PE,Fair,2
20,Male,PE,Very good,1
20,Male,QC,Excellent,4
20,Male,QC,Fair,4
20,Male,QC,Very good,8
20,Male,SK,Excellent,2
20,Male,SK,Fair,3
21,Female,AB,Excellent,1
21,Female,AB,Fair,3
21,Female,AB,Very good,1
21,Female,BC,Fair,1
21,Female,BC,Very good,1
21,Female,MB,Excellent,2
21,Female,MB,Fair,2
21,Female,MB,Very good,3
21,Female,NB,Fair,2
21,Female,NB,Very good,3
21,Female,NL,Fair,2
21,Female,NL,Very good,1
21,Female,NS,Fair,1
21,Female,NS,Poor,1
21,Female,NS,Very good,1
21,Female,ON,Excellent,5
21,Female,ON,Fair,11
21,Female,ON,Poor,1
21,Female,ON,Very good,6
21,Female,PE,Fair,2
21,Female,PE,Very good,1
21,Female,QC,Excellent,6
21,Female,QC,Fair,4
21,Female,QC,Very good,6
21,Female,SK,Fair,1
21,Female,SK,Very good,1
21,Male,AB,Excellent,1
21,Male,AB,Fair,7
21,Male,BC,Excellent,3
21,Male,BC,Fair,4
21,Male,BC,Very good,2
21,Male,MB,Excellent,2
21,Male,MB,Fair,2
21,Male,MB,Very good,4
21,Male,NB,Excellent,2
21,Male,NB,Fair,2
21,Male,NS,Excellent,2
21,Male,NS,Fair,1
21,Male,NS,Very good,2
21,Male,ON,Excellent,11
21,Male,ON,Fair,8
21,Male,ON,Very good,9
21,Male,PE,Very good,1
21,Male,QC,Excellent,3
21,Male,QC,Fair,4
21,Male,QC,Very good,2
21,Male,QC,NA,1
21,Male,SK,Excellent,1
21,Male,SK,Fair,2
21,Male,SK,Very good,1
22,Female,AB,Excellent,1
22,Female,AB,Fair,2
22,Female,AB,Poor,1
22,Female,AB,Very good,6
22,Female,BC,Excellent,3
22,Female,BC,Fair,4
22,Female,BC,Very good,4
22,Female,MB,Excellent,1
22,Female,MB,Fair,1
22,Female,NB,Excellent,1
22,Female,NB,Fair,1
22,Female,NB,Very good,3
22,Female,NL,Excellent,1
22,Female,NL,Fair,2
22,Female,NL,Very good,3
22,Female,NS,Excellent,1
22,Female,NS,Fair,1
22,Female,NS,Very good,5
22,Female,ON,Excellent,4
22,Female,ON,Fair,12
22,Female,ON,Poor,1
22,Female,ON,Very good,12
22,Female,PE,Fair,1
22,Female,PE,Very good,2
22,Female,QC,Excellent,3
22,Female,QC,Fair,7
22,Female,QC,Very good,3
22,Female,SK,Excellent,1
22,Female,SK,Fair,4
22,Female,SK,Very good,3
22,Male,AB,Excellent,2
22,Male,AB,Fair,4
22,Male,AB,Very good,2
22,Male,BC,Excellent,9
22,Male,BC,Fair,4
22,Male,BC,Poor,1
22,Male,BC,Very good,3
22,Male,MB,Excellent,1
22,Male,MB,Fair,3
22,Male,MB,Very good,3
22,Male,NB,Fair,1
22,Male,NB,Very good,1
22,Male,NL,Excellent,2
22,Male,NL,Fair,2
22,Male,NL,Very good,1
22,Male,NS,Excellent,1
22,Male,NS,Fair,3
22,Male,NS,Very good,3
